時間,使用者,類型,描述,IP位址,結果,風險等級
"2025-08-29 00:33:05",系統,forbidden_access,"HTTP 錯誤：403 - GET admin/settings/notifications",172.19.0.1,warning,低
"2025-08-29 00:33:06",系統,forbidden_access,"HTTP 錯誤：403 - GET admin/settings/maintenance",172.19.0.1,warning,低
"2025-08-29 00:33:07",系統,forbidden_access,"HTTP 錯誤：403 - GET admin/settings/backups",172.19.0.1,warning,低
"2025-08-29 00:40:14",系統管理員,user_logout,使用者登出系統,172.19.0.1,success,低
"2025-08-29 00:42:37",系統,forbidden_access,"HTTP 錯誤：403 - GET admin/settings/backups",172.19.0.1,warning,低
"2025-08-29 00:42:37",系統,forbidden_access,"HTTP 錯誤：403 - GET admin/settings/backups",172.19.0.1,warning,低
"2025-08-29 00:42:41",系統,forbidden_access,"HTTP 錯誤：403 - GET admin/settings/backups",172.19.0.1,warning,低
"2025-08-29 00:42:46",系統管理員,user_logout,使用者登出系統,172.19.0.1,success,低
"2025-08-29 00:43:14",系統管理員,user_login,使用者登入系統,172.19.0.1,success,低
"2025-08-29 16:26:04",系統管理員,user_login,使用者登入系統,172.19.0.1,success,低
"2025-08-29 17:19:14",系統,login_failed,登入失敗：admin,172.19.0.1,warning,中
"2025-08-29 17:20:31",系統管理員,user_login,使用者登入系統,172.19.0.1,success,低
"2025-08-29 17:40:25",系統,view_activity_logs,"執行操作: view_activity_logs",172.19.0.1,success,低
"2025-08-29 17:40:38",系統,forbidden_access,"HTTP 錯誤：403 - GET admin/activities/security",172.19.0.1,warning,低
"2025-08-29 17:40:39",系統,view_activity_stats,"執行操作: view_activity_stats",172.19.0.1,success,低
"2025-08-29 17:40:43",系統,view_activity_monitor,"執行操作: view_activity_monitor",172.19.0.1,success,低
"2025-08-29 17:40:45",系統,view_activity_export,"執行操作: view_activity_export",172.19.0.1,success,低
