"ID","時間","類型","描述","模組","IP位址","結果","風險等級","使用者ID","使用者名稱","使用者信箱","詳細資料"
"117","2025-08-26 10:54:12","view_activity_monitor","執行操作: view_activity_monitor","","172.19.0.1","成功","極低","","系統","",""
"118","2025-08-26 10:54:12","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"113","2025-08-26 10:54:10","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"114","2025-08-26 10:54:10","view_activity_stats","執行操作: view_activity_stats","","172.19.0.1","成功","極低","","系統","",""
"115","2025-08-26 10:54:10","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"110","2025-08-26 10:54:08","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"111","2025-08-26 10:54:08","security_monitor_access","管理員存取安全事件監控頁面","security","172.19.0.1","警告","低","","系統","",""
"112","2025-08-26 10:54:08","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"107","2025-08-26 10:54:07","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"108","2025-08-26 10:54:07","view_activity_logs","執行操作: view_activity_logs","","172.19.0.1","成功","極低","","系統","",""
"109","2025-08-26 10:54:07","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"104","2025-08-26 10:54:04","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"105","2025-08-26 10:54:04","security_monitor_access","管理員存取安全事件監控頁面","security","172.19.0.1","警告","低","","系統","",""
"106","2025-08-26 10:54:04","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"102","2025-08-26 10:53:25","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"103","2025-08-26 10:53:25","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"98","2025-08-26 10:53:24","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"99","2025-08-26 10:53:24","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"100","2025-08-26 10:53:24","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"101","2025-08-26 10:53:24","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"95","2025-08-26 10:52:45","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"96","2025-08-26 10:52:45","view_activity_logs","執行操作: view_activity_logs","","172.19.0.1","成功","極低","","系統","",""
"97","2025-08-26 10:52:45","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"94","2025-08-26 10:50:47","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"92","2025-08-26 10:50:46","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"93","2025-08-26 10:50:46","view_activity_logs","執行操作: view_activity_logs","","172.19.0.1","成功","極低","","系統","",""
"89","2025-08-26 10:49:17","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"90","2025-08-26 10:49:17","view_activity_logs","執行操作: view_activity_logs","","172.19.0.1","成功","極低","","系統","",""
"91","2025-08-26 10:49:17","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"85","2025-08-26 10:48:40","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"86","2025-08-26 10:48:40","security_monitor_access","管理員存取安全事件監控頁面","security","172.19.0.1","警告","低","","系統","",""
"87","2025-08-26 10:48:40","server_error","HTTP 錯誤：500 - GET admin/activities/security","security","172.19.0.1","警告","低","","系統","",""
"88","2025-08-26 10:48:40","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"81","2025-08-26 10:48:38","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"82","2025-08-26 10:48:38","user_updated","更新使用者：系統管理員","users","172.19.0.1","成功","低","","系統","","{""changes"":{""locale"":""zh_TW"",""updated_at"":""2025-08-26 10:48:38""},""username"":""admin"",""fields_changed"":[""locale"",""updated_at""]}"
"83","2025-08-26 10:48:38","view_activity_logs","執行操作: view_activity_logs","","172.19.0.1","成功","極低","","系統","",""
"84","2025-08-26 10:48:38","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"78","2025-08-26 10:48:36","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"79","2025-08-26 10:48:36","user_updated","更新使用者：系統管理員","users","172.19.0.1","成功","低","","系統","","{""changes"":{""locale"":""en"",""updated_at"":""2025-08-26 10:48:36""},""username"":""admin"",""fields_changed"":[""locale"",""updated_at""]}"
"80","2025-08-26 10:48:36","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"74","2025-08-26 10:48:27","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"75","2025-08-26 10:48:27","security_monitor_access","管理員存取安全事件監控頁面","security","172.19.0.1","警告","低","","系統","",""
