"ID","時間","類型","描述","模組","IP位址","結果","風險等級","使用者ID","使用者名稱","使用者信箱","詳細資料"
"229","2025-08-26 11:06:35","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"230","2025-08-26 11:06:35","view_activity_logs","執行操作: view_activity_logs","","172.19.0.1","成功","極低","","系統","",""
"231","2025-08-26 11:06:35","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"226","2025-08-26 11:06:34","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"227","2025-08-26 11:06:34","security_monitor_access","管理員存取安全事件監控頁面","security","172.19.0.1","警告","低","","系統","",""
"228","2025-08-26 11:06:34","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"223","2025-08-26 11:06:33","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"224","2025-08-26 11:06:33","view_activity_stats","執行操作: view_activity_stats","","172.19.0.1","成功","極低","","系統","",""
"225","2025-08-26 11:06:33","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"220","2025-08-26 11:06:31","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"221","2025-08-26 11:06:31","view_activity_monitor","執行操作: view_activity_monitor","","172.19.0.1","成功","極低","","系統","",""
"222","2025-08-26 11:06:31","system_shutdown","系統事件: system_shutdown","system","172.19.0.1","成功","極低","","系統","",""
"217","2025-08-26 11:06:21","system_startup","系統事件: system_startup","system","172.19.0.1","成功","極低","","系統","",""
"218","2025-08-26 11:06:21","view_activity_export","執行操作: view_activity_export","","172.19.0.1","成功","極低","","系統","",""
